"Adverse.events","Death.1.1.","Death.2.1.","Death.1.2.","Death.2.2.","GP.1.1.","GP.2.1.","GP.1.2.","GP.2.2.","Hospital.1.1.","Hospital.2.1.","Hospital.1.2.","Hospital.2.2.","Infected.1.1.","Infected.2.1.","Infected.1.2.","Infected.2.2.","Mild.Compl.1.1.","Mild.Compl.2.1.","Mild.Compl.1.2.","Mild.Compl.2.2.","Pneumonia.1.1.","Pneumonia.2.1.","Pneumonia.1.2.","Pneumonia.2.2.","Repeat.GP.1.1.","Repeat.GP.2.1.","Repeat.GP.1.2.","Repeat.GP.2.2.","Trt.1.1.1.","Trt.2.1.1.","Trt.1.2.1.","Trt.2.2.1.","Trt.1.1.2.","Trt.2.1.2.","Trt.1.2.2.","Trt.2.2.2.","beta.1.","beta.2.","beta.3.","beta.4.","beta.5.","beta.6.","beta.7.","delta","deviance","eta","gamma.1.","gamma.2.","lambda","n.1.1.","n.2.1.","n.1.2.","n.2.2.","phi","pi.1.1.","pi.2.1.","pi.1.2.","pi.2.2.","psi.1.","psi.2.","psi.3.","psi.4.","psi.5.","psi.6.","psi.7.","psi.8.","q.1.","q.2.","q.3.","q.4.","q.5.","q.6.","q.7.","rho.1.","rho.2.","xi"
1466,1,0,0,0,1664,958,0,230,0,1,0,0,5992,3401,0,876,691,405,0,102,18,15,0,5,673,390,0,97,714,565,411,330,0,0,97,83,0.0592229294380858,0.279072212683545,0.405357334313017,0.0133871627631039,0.00036877967012863,0.000383496061747981,0.0345603303314055,5,1.4328737221561,0.906890804384957,0.421057511928926,0.818109486942017,3.1661090562136,1e+05,0,57630,42370,0.421586276486026,0.0592229294380858,0.0592229294380858,0.0219922073650392,0.0219922073650392,25.6781696305209,2120.8887977141,6.82365855248739,11.2557292356817,44.3438624679967,4.49930851056543,1.80831608334269,0.571594357685411,7.12005111032754,0,0,5.42969941674341,8.54860636662627,14.8057034480636,0.480603912450146,0,0.628653841110126,0.955241072896974
5329,1,1,0,0,1414,748,0,276,0,0,0,1,7471,4024,0,1536,570,308,0,112,12,15,0,3,558,293,0,109,588,463,322,255,0,0,130,92,0.0746763918433484,0.194104881945485,0.405455537987818,0.0141010276092457,0.000419662788171407,0.000506178256326337,0.109608921453299,4,-0.717835803913926,0.903452181597466,0.421927259807368,0.820176683183418,2.61563535417061,1e+05,0,52454,47546,0.477825607633541,0.0746763918433484,0.0746763918433484,0.0316285870500843,0.0316285870500843,20.5261380067084,2942.89908990227,4.6342358645533,8.14437674438517,56.2994073434621,3.36638239382185,1.76693948404995,0.731385273330688,5.24784811202046,0,0,7.59917637647469,6.77059201559326,13.7513822150514,0.362784859694053,0,0.576458017462429,0.948248116797812
5203,1,1,0,0,809,489,0,80,0,0,0,0,6718,4300,0,788,332,214,0,40,10,2,0,4,322,212,0,36,345,266,211,174,0,0,31,36,0.0676067754692471,0.119706156281276,0.411396697429117,0.0104306426041964,0.000449658993499317,0.000994700160755777,0.140355242500367,8,0.625982021890743,0.904930434669522,0.419094508645713,0.81114270243794,1.30881919425957,1e+05,0,63617,36383,0.364846007901676,0.0676067754692471,0.0676067754692471,0.0220510050735695,0.0220510050735695,15.7807549352608,3032.97688569261,10.3323527059091,10.0777358432292,54.5291653643927,3.91596916005317,1.18428244149367,0.688841392665282,5.20227004270902,0,0,6.14969489969444,8.33138429404124,14.3215240329449,0.690657386482322,0,0.673834391294109,0.947913113980248
2351,2,0,0,0,1761,1157,0,261,1,0,0,0,4837,3269,0,702,739,479,0,109,19,17,0,5,720,462,0,104,735,609,505,395,0,0,102,90,0.0490628761384262,0.367099062424435,0.404598850786769,0.0126989700946053,0.000267967219026311,0.000931698683158223,0.0693282858602633,6,0.00381045074473528,0.903011808484796,0.420193442540932,0.81421551309644,3.47065875399655,1e+05,0,66057,33943,0.339670623942796,0.0490628761384262,0.0490628761384262,0.0201276917802726,0.0201276917802726,29.7604303900826,2683.00773050071,6.25574354187607,11.9809461500346,66.5934419444162,2.20022555906377,1.50372755496325,0.999007417038073,4.718265666285,0,0,6.51262115952096,6.77255243173764,20.4325171313389,0.828176003468891,0,0.589757198019043,0.937386462641825
8303,1,2,0,0,2472,964,0,432,1,1,0,0,4749,1894,0,846,1049,425,0,177,25,11,0,2,1024,414,0,175,1048,838,427,337,0,0,193,137,0.0474677056135712,0.521042566424962,0.399654325664761,0.0089668813540125,0.000379249295681178,0.000623743092965645,0.142195957776904,12,-0.225405286989319,0.901412807294129,0.422073645317152,0.812861528164256,4.20856328798516,1e+05,0,42259,57741,0.578264419854008,0.0474677056135712,0.0474677056135712,0.016271800515027,0.016271800515027,14.2675446430252,1622.2547139744,8.13821325312949,7.00847268717679,42.8184850142588,3.82972227609702,1.1083178062627,0.835416864636225,6.90420322605898,0,0,7.1595725520993,4.80214263863379,22.0169135668265,0.677812625774208,0,0.6572027169905,0.937202998102265
3607,1,1,0,0,2224,1342,0,260,1,0,0,0,4938,2976,0,596,915,560,0,100,35,21,0,2,880,539,0,98,962,720,575,455,0,0,117,85,0.0496658684874491,0.450391666633423,0.397456943716599,0.015119155804835,0.000397582719920236,0.000986631361376481,0.0857518144214035,9,-0.58769642130319,0.901101466760595,0.418300307351997,0.809511162362316,2.0182417842988,1e+05,0,58402,41598,0.418673937391281,0.0496658684874491,0.0496658684874491,0.014746909100846,0.014746909100846,16.1193228904515,3460.06374040894,8.99162046209383,11.6347556250541,39.2413621405066,2.00031403598376,1.42774914145584,1.53882594941902,4.03060653037634,0,0,7.46885070712574,4.62767496268889,23.6582968225773,0.567505969881398,0,0.70307759533949,0.95011455527554
6304,4,1,0,1,3478,1107,0,591,2,1,0,0,11080,3547,0,2045,1505,482,0,247,66,19,0,10,1439,463,0,237,1437,1258,449,388,0,0,242,192,0.111378764744967,0.307956956574678,0.408002255693036,0.0164314705784478,0.000389805657413492,0.00103884739828544,0.0914780334209431,8,0.406608623801377,0.89624712090656,0.418063119001617,0.809366322194089,1.32708956019143,1e+05,0,31507,68493,0.685083954312,0.111378764744967,0.111378764744967,0.0294284868051159,0.0294284868051159,15.1745846304694,3300.04109391133,4.17216809548223,14.6911470561833,49.4308172059657,2.64490492541313,1.6798203843177,0.671531073995366,6.02311385765086,0,0,5.39313661868945,4.50268224310048,15.1957752715682,0.314559913308805,0,0.735780093516924,0.953847690288451
4337,1,1,0,1,1483,799,0,189,0,0,0,0,3867,2164,0,525,622,333,0,65,22,7,0,3,600,326,0,62,630,501,351,259,0,0,79,49,0.0390033279679577,0.376799500495942,0.396884511669295,0.0140567529793033,0.000286355234102687,0.000803723662204736,0.100816134882336,7,-0.556330797731384,0.894834566220411,0.421323378983737,0.821875075792054,1.64701715838327,1e+05,0,55535,44465,0.443319667754297,0.0390033279679577,0.0390033279679577,0.0112925724970463,0.0112925724970463,21.8729095904237,2492.29276575524,3.89822781551483,14.6371744865304,77.5739503603371,2.43047515669898,1.65083160365908,0.953934203594851,3.71450993096975,0,0,6.67250212166051,7.10939151215888,15.942942021464,0.334784027963828,0,0.710471565238652,0.953001849504212
5482,0,0,0,0,1587,798,0,279,0,0,0,0,5163,2532,0,910,675,332,0,115,25,11,0,4,650,321,0,111,697,535,338,269,0,0,117,96,0.0503720898127792,0.298464159217311,0.40177393462297,0.012278853031054,0.000280201537969965,0.000481546044129713,0.115544581834958,11,-0.8046215284274,0.892291022549798,0.418690184771326,0.808873920570525,2.07009381734597,1e+05,0,51602,48398,0.483928808396148,0.0503720898127792,0.0503720898127792,0.0178127823606607,0.0178127823606607,25.3988329537853,1719.28973715502,6.76992837124453,11.2794643972489,39.5112139686727,3.06875659985464,1.62006460105729,0.840183968364022,2.92458069665631,0,0,5.00403731533236,7.80307200660403,9.12770855091127,0.458969389076837,0,0.64637595091118,0.947999285966669
3125,2,2,0,0,2578,1681,0,243,0,0,0,0,7265,4766,0,700,1063,711,0,102,41,17,0,3,1022,694,0,99,1082,864,699,577,0,0,90,80,0.0721286193941511,0.359758619216615,0.401220539122336,0.0123512101326958,0.000300116062269342,0.00107338000867289,0.09013996379973,2,1.44829561370453,0.897176534240324,0.419030701183346,0.812922431415968,1.74168789399081,1e+05,0,65712,34288,0.344572033902194,0.0721286193941511,0.0721286193941511,0.0201456876194171,0.0201456876194171,16.4832844288808,2998.44133104023,6.51787156905873,7.58286472062609,40.0916519275992,2.77888169360486,1.25735831851631,0.794396859124235,4.60994696521106,0,0,5.39170269866817,6.56359797270827,16.2441947456549,0.41885283166662,0,0.720697723197365,0.956459116934728
